time,avg_grain_vol,dt,grain_tracker
2682716145,1040154.9471105,3932160,6
2686648305,1040166.8349561,3932160,6
2690580465,1040158.4995508,3932160,6
2692546545,1040159.6306161,1966080,6
2694512625,1040154.4460572,1966080,6
2696478705,1040166.7469736,1966080,6
2697461745,1040161.3681204,983040,6
2697953265,1248171.5955335,491520,5
2698936305,1248190.1581006,983040,5
2700902385,1248200.7913173,1966080,5
2702868465,1248202.2582916,1966080,5
2706800625,1248196.1785439,3932160,5
2708766705,1248199.3073809,1966080,5
2712698865,1248211.8726604,3932160,5
2716631025,1248227.0463135,3932160,5
2720563185,1248225.4715626,3932160,5
2724495345,1248226.3261383,3932160,5
2728427505,1248230.4809101,3932160,5
2732359665,1248234.8945356,3932160,5
2736291825,1248238.2388214,3932160,5
2740223985,1248240.4123371,3932160,5
2744156145,1248231.6379034,3932160,5
2748088305,1248254.3321293,3932160,5
2752020465,1248240.5947267,3932160,5
2755952625,1248260.337802,3932160,5
2759884785,1248258.3218915,3932160,5
2767749105,1248248.116769,7864320,5
2771681265,1248260.0072474,3932160,5
2775613425,1248264.2610969,3932160,5
2783477745,1248254.9775825,7864320,5
2787409905,1248263.7820816,3932160,5
2795274225,1248278.9820253,7864320,5
2799206385,1248279.8542003,3932160,5
2807070705,1248267.9771905,7864320,5
2811002865,1248264.2917775,3932160,5
2818867185,1248278.2431975,7864320,5
2822799345,1248281.9824471,3932160,5
2830663665,1248286.6358658,7864320,5
2834595825,1248296.3849177,3932160,5
2842460145,1248291.4633497,7864320,5
2846392305,1248287.6221253,3932160,5
2854256625,1248318.6287596,7864320,5
2858188785,1248301.4103037,3932160,5
2866053105,1248304.533477,7864320,5
2869985265,1248303.5704686,3932160,5
2877849585,1248304.9480508,7864320,5
2881781745,1248308.0419959,3932160,5
2889646065,1248320.3504197,7864320,5
2893578225,1248300.0368252,3932160,5
2901442545,1248302.7008879,7864320,5
2905374705,1248303.615674,3932160,5
2913239025,1248313.784048,7864320,5
2917171185,1248311.5007116,3932160,5
2921103345,1248313.7009477,3932160,5
2928967665,1248326.3564272,7864320,5
2936831985,1248326.6354154,7864320,5
2944696305,1248333.5093423,7864320,5
2952560625,1248338.9003808,7864320,5
2960424945,1248333.7878162,7864320,5
2968289265,1248354.841488,7864320,5
2976153585,1248353.1194743,7864320,5
2984017905,1248349.9438738,7864320,5
2991882225,1248348.9582706,7864320,5
2999746545,1248357.1783868,7864320,5
3007610865,1248352.2068834,7864320,5
3015475185,1248370.2208127,7864320,5
3023339505,1248354.9439198,7864320,5
3031203825,1248347.7355116,7864320,5
3039068145,1248371.0974129,7864320,5
3046932465,1248353.3314094,7864320,5
3054796785,1248373.6876463,7864320,5
3062661105,1248383.7797302,7864320,5
3070525425,1248378.7282691,7864320,5
3078389745,1248383.6129583,7864320,5
3086254065,1248402.8516527,7864320,5
3094118385,1248380.6555246,7864320,5
3101982705,1248388.0191756,7864320,5
3109847025,1248392.5635628,7864320,5
3117711345,1248372.4681602,7864320,5
3125575665,1248393.9987303,7864320,5
3133439985,1248399.6658066,7864320,5
3141304305,1248392.4606127,7864320,5
3149168625,1248413.984972,7864320,5
3157032945,1248425.3483169,7864320,5
3164897265,1248405.4265894,7864320,5
3172761585,1248415.4863311,7864320,5
3180625905,1248437.2006634,7864320,5
3188490225,1248410.3243689,7864320,5
3196354545,1248430.1761921,7864320,5
3204218865,1248431.2822129,7864320,5
3208151025,1248419.7425931,3932160,5
3216015345,1248431.9812842,7864320,5
3219947505,1248436.9143507,3932160,5
3227811825,1248441.9052619,7864320,5
3231743985,1248431.014013,3932160,5
3239608305,1248427.2619457,7864320,5
3243540465,1248432.5599279,3932160,5
3251404785,1248451.215886,7864320,5
3255336945,1248441.7066447,3932160,5
3263201265,1248449.8079552,7864320,5
3267133425,1248474.352071,3932160,5
3274997745,1248457.413478,7864320,5
3278929905,1248474.0413525,3932160,5
3282862065,1248466.8193117,3932160,5
3286794225,1248477.1462542,3932160,5
3290726385,1248497.8544463,3932160,5
3294658545,1248483.0673344,3932160,5
3298590705,1248483.5655423,3932160,5
3300556785,1248482.9652284,1966080,5
3301539825,1248472.8632538,983040,5
3302522865,1248485.7757083,983040,5
3304488945,1248480.832815,1966080,5
3306455025,1560619.1805568,1966080,4
3310387185,1560600.4603769,3932160,4
3318251505,1560622.4432094,7864320,4
3322183665,1560612.9593954,3932160,4
3330047985,1560607.0935464,7864320,4
3333980145,1560615.4998888,3932160,4
3341844465,1560634.7518513,7864320,4
3349708785,1560620.1582747,7864320,4
3357573105,1560623.1582293,7864320,4
3365437425,1560655.1103543,7864320,4
