time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
237150,2400,7378669.4312348,-1.6201645156324e-11,5322323.2919096,-4.2135630663783e-14,6713808.4770669,5596570.0555461
239550,2400,7378805.1786015,2.9418179096969e-12,5322217.9032947,4.8539486681364e-15,6713905.0382807,5596443.2486508
244350,4800,7379062.530357,6.4139398863973e-13,5322020.3337893,1.4374403638781e-15,6714083.4670944,5596204.8559976
246750,2400,7379179.3762112,1.9794461287035e-14,5321930.9073631,5.5775368433158e-17,6714165.7922408,5596095.2619724
251550,4800,7379399.8848397,-1.6755400655866e-14,5321762.4333353,-3.5821853418588e-17,6714322.792435,5595886.1621013
256350,4800,7379607.015827,-9.2227958915916e-16,5321603.6644239,-2.0793455749787e-18,6714468.5969825,5595691.9565438
261150,4800,7379797.1766988,1.3754600755289e-16,5321457.4623383,2.8289672925291e-19,6714599.4991501,5595517.1304714
265950,4800,7379967.4093997,1.5605526437517e-17,5321326.9604207,3.3552842010874e-20,6714716.1355755,5595360.7949102
270750,4800,7380119.0186204,-7.8611712209927e-19,5321211.2878369,-1.5188392961104e-21,6714822.3769243,5595218.6423341
275550,4800,7380256.5177861,-1.9858672691609e-19,5321106.3516043,-4.1481893432803e-22,6714921.141882,5595087.3338354
280350,4800,7380383.8284261,-1.8557478352217e-22,5321008.6143703,-1.8135110741564e-24,6715012.4790434,5594966.4357674
285150,4800,7380502.0797049,2.095219678465e-21,5320917.2951386,4.2730426453587e-24,6715094.8794223,5594857.1100221
289950,4800,7380610.3359094,9.1829320598417e-23,5320833.6249997,2.0202477147273e-25,6715167.5564121,5594759.8505975
294750,4800,7380707.6285948,-1.8292765882728e-23,5320758.8031788,-3.6345242847186e-26,6715231.5550584,5594673.3843186
299550,4800,7380794.323349,-1.7608818000659e-24,5320692.6388686,-3.6912491022639e-27,6715289.2862403,5594595.1267692
304350,4800,7380872.1306159,1.1882731238557e-25,5320633.5633323,2.2564089520423e-28,6715343.3027296,5594522.3832686
309150,4800,7380943.2396937,2.3842687933872e-26,5320579.5186685,4.8768487879481e-29,6715395.2603948,5594453.3656497
313950,4800,7381009.3785806,-2.4032892455949e-28,5320528.9110146,-2.9516957843154e-31,6715445.5334356,5594387.564769
318750,4800,7381071.3180807,-2.6440186683298e-28,5320481.108494,-5.3025956739597e-31,6715493.4526247,5594325.5106355
323550,4800,7381128.9175439,-8.8094387815629e-30,5320436.3903535,-1.967714034994e-32,6715537.870325,5594268.2125313
328350,4800,7381181.5280383,2.4420916247273e-30,5320395.5364236,4.7925477554462e-33,6715577.7327834,5594216.5938555
337950,9600,7381270.100469,2.0742519105306e-31,5320327.0667579,4.4117222568102e-34,6715643.8131831,5594130.3755671
342750,4800,7381305.606445,-2.0080698315804e-33,5320300.4646297,-2.795545327978e-36,6715669.3954415,5594095.9170558
352350,9600,7381363.6719463,-3.0691735120001e-33,5320257.8384037,-6.4715827716558e-36,6715711.6489188,5594038.211786
357150,4800,7381387.5946589,-9.2004453767614e-35,5320240.7617713,-1.9905080323293e-37,6715729.0936951,5594013.9417656
366750,9600,7381431.878709,4.1428012791214e-35,5320208.3349828,8.7089134649321e-38,6715761.9939952,5593969.1750949
376350,9600,7381475.2742635,1.4031892041394e-36,5320174.6844549,2.9780636423264e-39,6715794.1569019,5593927.2619017
385950,9600,7381518.3121515,-1.9456999744379e-37,5320139.6979557,-4.0796206735387e-40,6715825.0821319,5593888.2885744
395550,9600,7381558.9384863,-1.1869347651175e-38,5320105.7298523,-2.5063030145232e-41,6715853.375996,5593853.3385241
405150,9600,7381594.0517751,7.9857923602887e-40,5320076.1336486,1.6688488718637e-42,6715877.6333175,5593823.5656031
414750,9600,7381620.9721702,8.1950342991818e-41,5320053.8024918,1.7254446346405e-43,6715897.0139042,5593799.5974772
424350,9600,7381638.2754107,-2.5531659850505e-42,5320040.3380002,-5.3017568712355e-45,6715911.3858404,5593781.3889488
433950,9600,7381645.9728014,-5.0147116595171e-43,5320035.8729741,-1.0535780650587e-45,6715921.1831247,5593768.3618289
443550,9600,7381645.2656076,2.9369818515036e-45,5320039.3208758,5.8172955619943e-48,6715927.1662809,5593759.6406303
453150,9600,7381638.121305,2.7933015711315e-45,5320048.8041556,5.8578373529829e-48,6715930.2049913,5593754.2654902
462750,9600,7381626.8448691,4.5053764338459e-47,5320062.0875843,9.63489736227e-50,6715931.1284526,5593751.3372667
472350,9600,7381613.7340969,-1.4226706698592e-47,5320076.9271814,-2.9780426196952e-50,6715930.6445047,5593750.0941829
481950,9600,7381600.8466361,-5.564374463656e-49,5320091.3068675,-1.1756677841623e-51,6715929.3105122,5593749.9372603
491550,9600,7381589.8716302,6.5354343080652e-50,5320103.5698677,1.3651148384236e-52,6715927.5364391,5593750.4241775
